#,,distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period),power-generated
60,59,0.166667,64,31,1.916923,1,1.098612,5.196152,1.791759,29.78,9910
61,60,0.069554,64,31,1.916923,1,0.693147,6.403124,2.397895,29.75,28515
62,61,0.305774,64,31,1.916923,1,0.693147,6.244998,2.70805,29.7,17490
63,62,0.541995,64,31,1.916923,1,0.693147,5.196152,1.94591,29.72,773
64,63,0.778215,64,31,1.916923,1,0.693147,3.605551,1.94591,29.75,0
65,64,0.878788,63,21,2.442347,3,0.693147,4,2.079442,29.76,0
66,65,0.641634,63,21,2.442347,3,0.693147,4.690416,2.079442,29.75,0
67,66,0.40448,63,21,2.442347,4,0.693147,4.358899,2.197225,29.78,65
68,67,0.167325,63,21,2.442347,4,0.693147,5.196152,1.791759,29.8,5219
69,68,0.069829,63,21,2.442347,1,0.693147,6.082763,2.772589,29.76,10789
70,69,0.306983,63,21,2.442347,1,0.693147,5.656854,3.044522,29.74,5208
71,70,0.544137,63,21,2.442347,1,0.693147,4.690416,2.079442,29.74,60
72,71,0.781291,63,21,2.442347,3,0.693147,4.358899,2.639057,29.76,0
73,72,0.880952,64,28,2.370244,3,0.693147,4.358899,2.079442,29.76,0
74,73,0.642857,64,28,2.370244,4,0.693147,4.358899,2.079442,29.77,0
75,74,0.404762,64,28,2.370244,4,0.693147,4.690416,2.079442,29.8,1346
76,75,0.166667,64,28,2.370244,3,0.693147,5.656854,1.386294,29.84,18380
77,76,0.071429,64,28,2.370244,1,0.693147,6.403124,2.833213,29.81,28891
78,77,0.309524,64,28,2.370244,1,0.693147,6.082763,2.944439,29.8,14687
79,78,0.547619,64,28,2.370244,1,0.693147,4.358899,2.772589,29.82,345
80,79,0.785714,64,28,2.370244,1,0.693147,4,2.197225,29.85,0
81,80,0.883289,61,29,2.517696,2,0.693147,3.605551,2.397895,29.85,0
82,81,0.644562,61,29,2.517696,4,0.693147,3.605551,1.386294,29.85,0
83,82,0.405836,61,29,2.517696,4,1.386294,4,1.386294,29.87,292
84,83,0.167109,61,29,2.517696,2,0.693147,5.196152,1.386294,29.87,10767
85,84,0.071618,61,29,2.517696,1,0.693147,5.656854,3.091042,29.84,27641
86,85,0.310345,61,29,2.517696,1,0.693147,5,3.178054,29.81,13835
87,86,0.549072,61,29,2.517696,1,0.693147,3.605551,2.944439,29.83,145
88,87,0.787798,61,29,2.517696,1,0.693147,3.605551,2.397895,29.86,0
89,88,0.886818,60,28,2.541602,3,0.693147,3.162278,2.639057,29.87,0
90,89,0.647137,60,28,2.541602,3,0.693147,4.123106,2.197225,29.87,0
91,90,0.407457,60,28,2.541602,4,0.693147,3.741657,1.791759,29.9,229
92,91,0.167776,60,28,2.541602,4,1.098612,4.358899,2.079442,29.93,4349
93,92,0.071904,60,28,2.541602,1,0.693147,5.656854,2.833213,29.88,19126
94,93,0.311585,60,28,2.541602,1,0.693147,5.196152,3.091042,29.85,14692
95,94,0.551265,60,28,2.541602,3,0.693147,4.472136,2.639057,29.88,436
96,95,0.790945,60,28,2.541602,3,0.693147,3.741657,2.302585,29.9,0
97,96,0.886667,61,29,2.302585,3,0.693147,4.472136,2.197225,29.9,0
98,97,0.646667,61,29,2.302585,4,0.693147,4.472136,1.94591,29.87,0
99,98,0.406667,61,29,2.302585,4,0.693147,4.123106,1.791759,29.9,408
100,99,0.166667,61,29,2.302585,4,0.693147,5.291503,1.386294,29.93,11376
101,100,0.073333,61,29,2.302585,2,0.693147,6.244998,2.833213,29.89,28611
102,101,0.313333,61,29,2.302585,2,0.693147,5.91608,2.890372,29.86,14587
103,102,0.553333,61,29,2.302585,1,0.693147,4.358899,2.70805,29.89,239
104,103,0.793333,61,29,2.302585,1,0.693147,4.123106,2.079442,29.93,0
105,104,0.890228,62,29,2.406945,4,0.693147,4.123106,1.791759,29.94,0
106,105,0.649264,62,29,2.406945,4,0.693147,3.605551,1.386294,29.94,0
107,106,0.4083,62,29,2.406945,4,0.693147,4,1.791759,29.97,250
108,107,0.167336,62,29,2.406945,3,1.098612,5.196152,2.079442,30,15149
109,108,0.073628,62,29,2.406945,1,0.693147,6.082763,2.772589,29.96,28581
110,109,0.314592,62,29,2.406945,1,0.693147,5.656854,3.091042,29.94,13787
111,110,0.555556,62,29,2.406945,1,0.693147,4.690416,2.944439,29.97,218
112,111,0.796519,62,29,2.406945,1,0.693147,4.123106,2.639057,29.99,0
113,112,0.892617,60,28,2.61007,3,0.693147,3.741657,2.302585,29.99,0
114,113,0.651007,60,28,2.61007,4,0.693147,3.605551,2.079442,29.97,0
115,114,0.409396,60,28,2.61007,4,1.609438,3.162278,2.079442,30.01,413
116,115,0.167785,60,28,2.61007,3,1.609438,4.690416,1.791759,30.01,17412
117,116,0.073826,60,28,2.61007,1,0.693147,6.082763,2.833213,29.95,28239
118,117,0.315436,60,28,2.61007,1,0.693147,5.477226,3.135494,29.92,13397
119,118,0.557047,60,28,2.61007,1,0.693147,4.123106,2.944439,29.94,193
